kfold,iteracion,arquitectura,infer_time,num_test_samples
0,0,co-train1,159.70237636566162,3460
0,1,co-train1,161.51488876342773,3460
0,2,co-train1,157.32454013824463,3460
0,3,co-train1,166.76316332817078,3460
0,4,co-train1,150.33704042434692,3460
