0,1,DenseNet169,987.095059633255
0,1,InceptionV4,1228.7670879364014
0,1,DenseNet121,932.7704846858978
0,2,ResNet50,1033.4790120124817
0,2,Xception,1060.7166764736176
0,2,DenseNet169,1254.7276566028595
0,2,InceptionV4,1518.6539406776428
0,2,DenseNet121,1198.121170282364
0,3,ResNet50,1033.5875554084778
0,3,Xception,1047.0114796161652
0,3,DenseNet169,1238.7263658046722
0,3,InceptionV4,1498.9063444137573
0,3,DenseNet121,1184.7374663352966
0,4,ResNet50,1165.2810642719269
0,4,Xception,1189.879629611969
0,4,DenseNet169,1386.5836670398712
0,4,InceptionV4,1640.787213563919
0,4,DenseNet121,1337.4428479671478
