kfold,iteracion,arquitectura,val_loss,val_accu,test_loss,test_accu
0,0,ResNet50,0.4682619744004165,0.87086517,0.4527448602704273,0.8660942
0,0,Xception,0.6548313880884313,0.8396947,0.6439458224211485,0.83874047
0,0,DenseNet169,0.5436901841644416,0.85464376,0.5396289290337759,0.85639316
0,0,InceptionV4,0.4582081541665486,0.8765903,0.4656061712369849,0.874841
0,0,DenseNet121,0.8315289071725525,0.798187,0.8141450725576388,0.8012087
0,0,co-train,,,,0.8493956743002544
0,1,ResNet50,0.42059295157885357,0.8958333,0.45031307012574906,0.8928117
0,1,Xception,0.33542293679258256,0.89965016,0.3393486629432167,0.89933205
0,1,DenseNet169,0.3267900195635106,0.9061705,0.33052092561920104,0.9048982
0,1,InceptionV4,0.4539509442310221,0.884542,0.46760276877072476,0.87961197
0,1,DenseNet121,0.3774101217194406,0.889472,0.3861085603072287,0.8923346
0,1,co-train,,,,0.8931297709923665
0,2,ResNet50,0.40581393847316055,0.90124047,0.43915385148983854,0.9004453
0,2,Xception,0.34359461352961973,0.9080789,0.34871293327198827,0.91125953
0,2,DenseNet169,0.3152584350743727,0.9111005,0.33973182832677645,0.9077608
0,2,InceptionV4,0.4296525392139866,0.89201653,0.45800052879884146,0.8875636
0,2,DenseNet121,0.33424142857838146,0.9076018,0.3568216110301961,0.9033079
0,2,co-train,,,,0.8958333333333334
0,3,ResNet50,0.3816122513268639,0.9080789,0.41253633293708336,0.90426207
0,3,Xception,0.32599096648032483,0.91173667,0.3362572268903097,0.9126908
0,3,DenseNet169,0.3062893698553604,0.9160305,0.33160095592155286,0.9130089
0,3,InceptionV4,0.40824128351465777,0.8971056,0.42061788236169007,0.89551526
0,3,DenseNet121,0.31899976509898126,0.9095102,0.3460090845442198,0.90744275
0,3,co-train,,,,0.9041030534351145
0,4,ResNet50,0.3815727086154046,0.9068066,0.41089743081664276,0.9079198
0,4,Xception,0.3225280285306967,0.91475827,0.33188143515144475,0.91125953
0,4,DenseNet169,0.30690374569440115,0.9168257,0.3244800795033768,0.91618955
0,4,InceptionV4,0.5709556603375301,0.8742048,0.5742306055134676,0.875159
0,4,DenseNet121,0.3224802193203443,0.9130089,0.3445496062792049,0.908556
0,4,co-train,,,,0.9069656488549618
