kfold,iteracion,arquitectura,val_loss,val_accu,test_loss,test_accu
0,0,ResNet152,0.3977169758603498,0.8950382,0.40312690000463064,0.894084
0,0,InceptionV3,0.3461826510996079,0.9079198,0.3740836689224243,0.90314883
0,0,InceptionV4,0.5984963098488767,0.87197834,0.5742309818295501,0.8683206
0,0,co-train,,,,0.9120547073791349
0,1,ResNet152,0.4089910036360176,0.9061705,0.4319673750272306,0.9077608
0,1,InceptionV3,0.35213006653529105,0.9033079,0.36441058306681534,0.90426207
0,1,InceptionV4,0.9699100237766295,0.8035942,0.9220333968291566,0.8070929
0,1,co-train,,,,0.9227099236641222
0,2,ResNet152,0.47061800905136203,0.9109415,0.5101727065430711,0.9101463
0,2,InceptionV3,0.37723158594664025,0.90648854,0.3919015454867033,0.9028308
0,2,InceptionV4,0.7231452761676503,0.8754771,0.6847759418780637,0.8759542
0,2,co-train,,,,0.920324427480916
0,3,ResNet152,0.40976894581138346,0.9095102,0.4340743597828704,0.90426207
0,3,InceptionV3,0.35837011150562537,0.91173667,0.3694976450906255,0.908715
0,3,InceptionV4,0.5309398004046254,0.8958333,0.5472072039038576,0.8974237
0,3,co-train,,,,0.9254134860050891
0,4,ResNet152,0.42417379936184696,0.9109415,0.4631609761180447,0.9063295
0,4,InceptionV3,0.3599316211347409,0.90887403,0.35567113463571737,0.9096692
0,4,InceptionV4,0.5351954399188625,0.8918575,0.5135875101977042,0.8928117
0,4,co-train,,,,0.9180979643765903
kfold,iteracion,arquitectura,val_loss,val_accu,test_loss,test_accu,test_precision,test_recall,test_f1score,support
0,0,ResNet152,0.4818905140403611,0.8678435,0.46539479998935224,0.8730916,0.8730916030534351,0.8730916030534351,0.8730916030534351,
0,0,InceptionV3,0.8088082350392378,0.7994593,0.7955656723680956,0.80502546,0.8050254452926209,0.8050254452926209,0.8050254452926208,
0,0,InceptionV4,0.8508667203078744,0.84255725,0.7426666697041717,0.84255725,0.8425572519083969,0.8425572519083969,0.8425572519083969,
0,0,co-train,,,,0.8791348600508906,0.8791348600508906,0.8791348600508906,0.8791348600508906,
0,1,ResNet152,0.45503486898365136,0.88199747,0.44450992898038455,0.88152033,0.8815203562340967,0.8815203562340967,0.8815203562340969,
kfold,iteracion,arquitectura,val_loss,val_accu,test_loss,test_accu,test_precision,test_recall,test_f1score,support
0,0,ResNet152,0.4849252559993482,0.87229645,0.46802198625607067,0.8734097,0.8757291628645171,0.8735763888888891,0.8730242945067844,
0,0,InceptionV3,0.8055696712650415,0.79834604,0.7903352344501052,0.8051845,0.8077601276937292,0.8052728174603174,0.8034505144794154,
0,0,InceptionV4,1.0932297431899392,0.8388995,0.8916473974682315,0.8374682,0.8446462095612938,0.8375992063492066,0.8380680073887082,
0,0,co-train,,,,0.8826335877862596,0.8832789416992792,0.8827529761904762,0.8819548033103056,
0,1,ResNet152,0.44575182169304955,0.8837468,0.43816085037768376,0.88422394,0.8858826489566182,0.8843551587301587,0.8837180564820614,
0,1,InceptionV3,0.6665932188810586,0.8180662,0.6654992974600246,0.8236323,0.8262276377663084,0.8238640873015872,0.8219031953100426,
0,1,InceptionV4,0.8544942836322212,0.8384224,0.7251343334149379,0.84653306,0.8587037531191558,0.8466170634920634,0.8487009421918009,
0,1,co-train,,,,0.8875636132315522,0.8893328909686926,0.8876884920634922,0.8871155230056085,
0,2,ResNet152,0.48607074540954454,0.884701,0.5120178245819187,0.8759542,0.880730385955971,0.8761309523809524,0.8758210405516167,
0,2,InceptionV3,0.5820011349712467,0.83874047,0.5741740785952454,0.83874047,0.8395971344402489,0.8388690476190475,0.8370244338733828,
0,2,InceptionV4,0.7431886923752972,0.8501908,0.7020187110233692,0.84923667,0.8653908613071674,0.8493154761904763,0.8508963727767254,
0,2,co-train,,,,0.8856552162849872,0.8903550591541508,0.88578373015873,0.8855984376487344,
0,3,ResNet152,0.43128823152827406,0.89312977,0.45389713227406353,0.8886768,0.8929897693466277,0.8887996031746035,0.8894452551231963,
0,3,InceptionV3,0.5486780596617372,0.84828246,0.5398723350068537,0.8486005,0.8500435083630666,0.8486359126984127,0.8467532889256228,
0,3,InceptionV4,0.7530635969319948,0.85305345,0.6824413365186797,0.85925573,0.8726375793022091,0.8593005952380952,0.8606692053264322,
0,3,co-train,,,,0.8979007633587787,0.8999857868902063,0.8980059523809524,0.8977267428708452,
0,4,ResNet152,0.4352573715436211,0.89631045,0.4602079278583834,0.889313,0.8915706680285866,0.889360119047619,0.8890613506686214,
0,4,InceptionV3,0.48360720801738305,0.86657125,0.4695389602509115,0.86816156,0.871258389032639,0.8682490079365082,0.8677227979837364,
0,4,InceptionV4,1.7507951175083072,0.860687,1.6607720865656974,0.8635496,0.8821200650272056,0.8636309523809523,0.8657319049598862,
0,4,co-train,,,,0.892970737913486,0.8981510192744874,0.8930555555555556,0.8931238429375652,
