kfold,iteracion,arquitectura,training_time
0,0,ResNet50,1068.204226732254
0,0,Xception,1192.0859575271606
0,0,DenseNet169,1339.7312350273132
0,0,InceptionV4,1870.0222272872925
0,0,DenseNet121,1316.4413335323334
0,1,ResNet50,1604.6654529571533
0,1,Xception,1762.4888198375702
0,1,DenseNet169,1893.9446835517883
0,1,InceptionV4,1536.9708759784698
0,1,DenseNet121,1814.7557711601257
0,2,ResNet50,1419.764729499817
0,2,Xception,2069.0343062877655
0,2,DenseNet169,2059.3472771644592
0,2,InceptionV4,1763.0719554424286
0,2,DenseNet121,2173.567887067795
0,3,ResNet50,1687.6018481254578
0,3,Xception,2002.5022785663605
0,3,DenseNet169,2174.485946416855
0,3,InceptionV4,2623.5780034065247
0,3,DenseNet121,2081.0581023693085
0,4,ResNet50,2097.9706428050995
0,4,Xception,2245.2452113628387
0,4,DenseNet169,2409.5668268203735
0,4,InceptionV4,1857.2186739444733
0,4,DenseNet121,2329.867547273636
kfold,iteracion,arquitectura,training_time
kfold,iteracion,arquitectura,training_time
kfold,iteracion,arquitectura,training_time
kfold,iteracion,arquitectura,training_time
kfold,iteracion,arquitectura,training_time
0,0,ResNet50,515.581924200058
0,0,Xception,556.5023851394653
0,0,DenseNet169,737.9019281864166
0,0,InceptionV4,934.2568724155426
0,0,DenseNet121,689.356237411499
0,1,ResNet50,811.0542528629303
0,1,Xception,820.1551716327667
