kfold,iteracion,arquitectura,val_loss,val_accu,test_loss,test_accu,test_precision,test_recall,test_f1score,support
0,0,ResNet152,0.2191442516990579,0.93990386,0.23630658279244715,0.93028843,0.9345634600442292,0.9302884615384616,0.9290422803867787,
0,0,InceptionV3,0.2784130409933053,0.9110577,0.26964398466337186,0.93028843,0.9343556887745237,0.9302884615384616,0.9293987737064542,
0,0,InceptionV4,0.4746196572310649,0.88221157,0.3914746322597449,0.88221157,0.8996004342961952,0.8822115384615384,0.8819418482195907,
0,0,co-train,,,,0.9543269230769231,0.9567188548166808,0.9543269230769231,0.9533450504605929,
0,1,ResNet152,0.234354971585652,0.9230769,0.23783748783171177,0.94471157,0.9483591589569851,0.9447115384615384,0.9433485817831231,
0,1,InceptionV3,0.24765835259593308,0.9254808,0.21705843361381155,0.92788464,0.9337214967685505,0.9278846153846154,0.9266246931917623,
0,1,InceptionV4,0.9942025092716974,0.8870192,0.694687593405923,0.8942308,0.9099066725029229,0.8942307692307693,0.8921628731975874,
0,1,co-train,,,,0.9519230769230769,0.9536715112373007,0.9519230769230769,0.9510350454207223,
0,2,ResNet152,0.21710630184343943,0.9375,0.241465887821575,0.9326923,0.9342582855740751,0.9326923076923077,0.9319403501094414,
0,2,InceptionV3,0.24314422355158827,0.9254808,0.1817620208088416,0.9423077,0.9441358084976,0.9423076923076923,0.9417589431205319,
0,2,InceptionV4,0.5225867212821658,0.88461536,0.5041579990647733,0.87259614,0.8854929583362309,0.8725961538461539,0.8725725503507491,
0,2,co-train,,,,0.9495192307692307,0.9515469251489471,0.9495192307692307,0.9486583617718348,
0,3,ResNet152,0.19983439061504144,0.9326923,0.2214616643502198,0.93509614,0.9393432955932955,0.9350961538461539,0.9336902303638944,
0,3,InceptionV3,0.23278556611442652,0.9206731,0.19350998320106344,0.9495192,0.9515211161103169,0.9495192307692307,0.9491952055323682,
0,3,InceptionV4,0.8584012351930141,0.85096157,0.7664142411846954,0.8317308,0.8581321999508896,0.8317307692307693,0.8272829713969312,
0,3,co-train,,,,0.9567307692307693,0.9601182332160594,0.9567307692307693,0.9562945498675823,
0,4,ResNet152,0.21542457183106586,0.9326923,0.2142044282742203,0.9423077,0.9430726437305387,0.9423076923076923,0.9419041045028504,
0,4,InceptionV3,0.2741560831222719,0.9375,0.2650141870262115,0.9375,0.9431872776981473,0.9375,0.9375824456579097,
0,4,InceptionV4,1.3207725955782315,0.8894231,1.0536008630812062,0.91586536,0.9341724472670828,0.9158653846153846,0.9152638196982993,
0,4,co-train,,,,0.9567307692307693,0.9588886513943723,0.9567307692307693,0.9565296954487088,
1,0,ResNet152,0.32426482976342624,0.90865386,0.28468943809947145,0.9110577,0.9205051583594095,0.9110576923076923,0.911577690320872,
1,0,InceptionV3,0.33235437910144144,0.8942308,0.3157015471504285,0.91346157,0.9183537786584126,0.9134615384615384,0.9127458946333368,
1,0,InceptionV4,0.2970034632509431,0.92788464,0.3507937694577357,0.89663464,0.9068076437927697,0.8966346153846154,0.8970826787289585,
1,0,co-train,,,,0.9471153846153846,0.9505112942612943,0.9471153846153846,0.9467350310609668,
1,1,ResNet152,0.25121682441721743,0.9230769,0.25496407389325143,0.93028843,0.9330057484321699,0.9302884615384616,0.929474808074115,
1,1,InceptionV3,0.24695432461941472,0.91346157,0.2267944712836582,0.92788464,0.9344429918217544,0.9278846153846154,0.9267318998651614,
1,1,InceptionV4,0.48507655039429665,0.9206731,0.533808228541882,0.89903843,0.9140321492009136,0.8990384615384616,0.898620672985505,
1,1,co-train,,,,0.9375,0.9410880105685157,0.9375,0.9364981263924383,
1,2,ResNet152,0.28174427843007904,0.90865386,0.24554312351392582,0.9230769,0.9259924420066715,0.9230769230769231,0.921153712528575,
1,2,InceptionV3,0.24403565756690043,0.92788464,0.2011606582449391,0.93509614,0.9393006063569124,0.9350961538461539,0.9345680359968805,
1,2,InceptionV4,0.39466783891503626,0.91346157,0.5526424718286412,0.89663464,0.9055421341706508,0.8966346153846154,0.8961024563062304,
1,2,co-train,,,,0.9326923076923077,0.9388024370930658,0.9326923076923077,0.9315302097509368,
1,3,ResNet152,0.2636414059581092,0.9230769,0.23864767428480824,0.9254808,0.9311458469067163,0.9254807692307693,0.9243863861636631,
1,3,InceptionV3,0.28307440228616965,0.92788464,0.20986781972952975,0.94711536,0.952569531917358,0.9471153846153846,0.9469866307671531,
1,3,InceptionV4,0.3702878002166891,0.9423077,0.4119399304036051,0.9014423,0.9089625155932674,0.9014423076923077,0.9011833412557907,
1,3,co-train,,,,0.9639423076923077,0.9656211843711843,0.9639423076923077,0.9628763637817406,
1,4,ResNet152,0.26417234601047734,0.93990386,0.27476517967427255,0.9519231,0.9539035203702386,0.9519230769230769,0.9512384713746174,
1,4,InceptionV3,0.20726087752084893,0.9254808,0.17029838398873556,0.93990386,0.94206274870248,0.9399038461538461,0.9396103084289701,
1,4,InceptionV4,0.6224128656948988,0.8918269,0.6663987502778093,0.89663464,0.9082967190254638,0.8966346153846154,0.8946944504451451,
1,4,co-train,,,,0.9615384615384616,0.9631418114684706,0.9615384615384616,0.961174424959945,
2,0,ResNet152,0.4566048916715842,0.8894231,0.3951580554533463,0.8918269,0.9070807464293894,0.8918269230769231,0.8910855182366985,
2,0,InceptionV3,0.45017025390496623,0.86538464,0.33088805698431456,0.90625,0.9110061443583207,0.90625,0.9051604634986201,
2,0,InceptionV4,0.5412300315040809,0.8389423,0.41800707378066504,0.88461536,0.8886455160747629,0.8846153846153846,0.8828451380421007,
2,0,co-train,,,,0.9302884615384616,0.9364542167562037,0.9302884615384616,0.9295098217688398,
2,1,ResNet152,0.3754059395824487,0.8918269,0.3050971120560112,0.87740386,0.8893344992115483,0.8774038461538461,0.8751428723351733,
2,1,InceptionV3,0.388894508091303,0.86538464,0.2687423462048173,0.92788464,0.9332761430873558,0.9278846153846154,0.927334855729888,
2,1,InceptionV4,0.7299565695799314,0.83653843,0.5359492990403221,0.8701923,0.8823369859521064,0.8701923076923077,0.8702167381517651,
2,1,co-train,,,,0.9350961538461539,0.9394901847551029,0.9350961538461539,0.9333618395581177,
2,2,ResNet152,0.37151201040698933,0.89903843,0.2831054515778445,0.90865386,0.9146153198488219,0.9086538461538461,0.9077345329142563,
2,2,InceptionV3,0.36133562200344527,0.8798077,0.23542948844484413,0.93509614,0.9383210413068712,0.9350961538461539,0.934805542734626,
2,2,InceptionV4,0.6372749882821853,0.8798077,0.43649726051192445,0.8918269,0.9017847178459306,0.8918269230769231,0.8914843841298693,
2,2,co-train,,,,0.9423076923076923,0.9455011400259752,0.9423076923076923,0.9422782656315912,
2,3,ResNet152,0.3783258646726608,0.9014423,0.29529455551304495,0.91586536,0.9233588556166008,0.9158653846153846,0.9168851235134408,
2,3,InceptionV3,0.35979588587696737,0.8894231,0.22533220583304334,0.93509614,0.940556936077916,0.9350961538461539,0.9348674350920386,
2,3,InceptionV4,0.8298877059267118,0.88461536,0.4873780330034116,0.90384614,0.9197422058349892,0.9038461538461539,0.9062164620591187,
2,3,co-train,,,,0.9447115384615384,0.9481388494546389,0.9447115384615384,0.9448930449343949,
2,4,ResNet152,0.3553604838492062,0.9206731,0.27009263955047713,0.94711536,0.9493519386694005,0.9471153846153846,0.9466391038027042,
2,4,InceptionV3,0.3572130332199427,0.88221157,0.23681810546594745,0.9326923,0.9382334310019116,0.9326923076923077,0.930741152677228,
2,4,InceptionV4,0.9520456464244769,0.8605769,0.5745476508656373,0.89903843,0.9105287677909135,0.8990384615384616,0.8984076481553995,
2,4,co-train,,,,0.9543269230769231,0.9561595618242775,0.9543269230769231,0.9537505825220737,
3,0,ResNet152,0.3640717828216461,0.9014423,0.3163080696697132,0.90865386,0.9158940554016665,0.9086538461538461,0.9085153845976848,
3,0,InceptionV3,0.3407917567170583,0.8870192,0.3318801868993502,0.9014423,0.9110452442392242,0.9014423076923077,0.8995640968191049,
3,0,InceptionV4,0.3506927023140284,0.90865386,0.3457494666083501,0.89663464,0.9069435419083887,0.8966346153846154,0.8976292940388043,
3,0,co-train,,,,0.9423076923076923,0.9469664225629674,0.9423076923076923,0.941569764020351,
3,1,ResNet152,0.3597555266549954,0.9014423,0.28136292250397116,0.8942308,0.9031204772791311,0.8942307692307693,0.8936835312918434,
3,1,InceptionV3,0.23037728681587255,0.9375,0.19966368226764294,0.94471157,0.9478629501402781,0.9447115384615384,0.9444053503071905,
